POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
3401,10.26,23.09,29.18,3.33,0.18,0.0,-2.62,-152.86,17.25,195.77,-36.3,2.96,0.0,123.58,-33.34,90.24
3501,13.13,17.8,33.78,2.83,0.24,0.0,-2.96,-160.88,20.19,198.09,-35.54,2.94,0.0,122.23,-32.6,89.63
3601,10.66,22.45,28.44,3.81,0.26,0.0,-3.16,-152.04,17.39,203.15,-41.66,3.01,0.0,130.97,-38.65,92.32
3701,10.45,24.25,34.86,1.92,0.05,0.0,-3.33,-152.04,17.11,198.01,-41.33,2.97,0.0,131.3,-38.36,92.94
3801,9.44,15.97,30.71,1.91,0.09,0.0,0.34,-157.61,16.96,199.89,-35.49,2.94,0.0,117.69,-32.55,85.14
3901,26.72,18.91,31.65,3.03,0.17,0.0,-2.3,-144.99,13.43,193.35,-41.26,3.0,0.0,139.97,-38.26,101.72
4001,17.16,16.88,34.4,2.41,0.22,0.0,-3.33,-155.1,13.31,199.47,-36.38,3.0,0.0,125.42,-33.38,92.04
4101,9.65,21.42,29.72,3.4,0.22,0.0,-2.28,-157.76,16.79,203.12,-37.27,2.97,0.0,124.28,-34.3,89.98
4201,10.79,16.02,28.88,2.42,0.06,0.0,-1.43,-160.94,19.28,200.82,-34.58,2.96,0.0,115.91,-31.63,84.28
4301,11.71,17.06,30.79,3.61,0.26,0.0,-1.45,-151.93,18.03,196.68,-39.62,2.95,0.0,124.75,-36.67,88.08
4401,14.52,19.29,28.94,3.16,0.42,0.0,-1.51,-149.2,15.58,192.27,-38.51,2.96,0.0,123.48,-35.56,87.93
4501,8.71,15.32,29.01,3.77,1.47,0.0,-2.09,-151.22,19.56,201.58,-41.83,2.97,0.0,126.11,-38.86,87.25
4601,13.35,14.25,29.41,2.28,0.19,0.0,-2.43,-153.66,14.12,207.04,-39.03,2.99,0.0,124.55,-36.05,88.51
4701,8.79,14.12,35.5,2.33,2.32,0.0,-3.49,-151.51,14.55,201.41,-39.49,2.99,0.0,124.03,-36.51,87.52
4801,13.38,19.1,32.17,3.66,0.1,0.0,-1.95,-158.64,12.59,198.88,-35.14,3.0,0.0,119.27,-32.13,87.14
4901,12.47,13.84,31.25,1.78,0.2,0.0,0.21,-155.53,16.82,203.83,-40.48,2.97,0.0,124.84,-37.51,87.33
5001,9.45,12.39,33.81,1.86,1.12,0.0,-1.58,-161.96,17.57,210.23,-38.8,2.94,0.0,122.89,-35.87,87.02
5101,12.1,14.15,30.43,2.16,0.34,0.0,-2.85,-150.26,16.97,194.46,-38.3,2.97,0.0,117.5,-35.33,82.17
5201,10.07,12.5,29.51,2.02,0.11,0.0,-1.45,-164.22,15.8,208.72,-34.83,2.92,0.0,113.08,-31.91,81.17
5301,13.02,22.37,33.18,2.43,0.03,0.0,-1.43,-160.48,19.42,200.2,-35.59,2.94,0.0,128.75,-32.65,96.1
5401,11.96,21.03,28.23,3.61,0.27,0.0,-2.21,-146.91,17.7,190.28,-39.27,2.96,0.0,123.97,-36.31,87.65
5501,10.84,17.97,26.58,1.84,0.45,0.0,-0.41,-146.7,17.43,191.54,-39.26,2.97,0.0,119.54,-36.29,83.25
5601,6.39,15.72,33.93,3.23,0.01,0.0,-2.52,-155.81,20.07,203.04,-39.02,2.93,0.0,124.04,-36.09,87.94
5701,8.47,18.77,31.06,2.55,0.01,0.0,-2.19,-158.56,19.21,196.72,-34.26,2.92,0.0,116.06,-31.34,84.72
5801,10.01,17.1,30.6,3.2,0.23,0.0,-0.41,-156.6,18.48,204.94,-39.28,2.96,0.0,127.55,-36.32,91.23
5901,8.82,21.83,31.27,2.86,0.45,0.0,-3.04,-154.94,16.11,197.16,-36.76,2.97,0.0,120.54,-33.79,86.75
6001,11.5,20.11,36.27,3.01,0.2,0.0,-3.33,-155.36,15.4,195.73,-34.63,2.93,0.0,123.53,-31.71,91.82
6101,11.13,14.86,31.36,1.63,0.07,0.0,-1.48,-155.65,18.69,203.88,-37.49,2.97,0.0,124.49,-34.52,89.97
6201,7.64,16.78,30.83,1.84,0.73,0.0,-0.74,-158.1,20.11,198.28,-35.62,2.93,0.0,117.39,-32.69,84.7
6301,14.29,18.91,31.26,2.11,0.34,0.0,-3.52,-147.93,14.62,193.86,-40.26,2.96,0.0,123.94,-37.3,86.64
6401,15.82,14.14,34.85,2.53,0.29,0.0,-2.02,-159.22,16.16,198.23,-34.28,2.96,0.0,120.78,-31.32,89.46
6501,9.8,15.95,30.26,3.59,0.19,0.0,-1.88,-158.58,19.88,203.34,-38.38,2.97,0.0,122.56,-35.4,87.16
6601,13.75,19.32,30.74,2.62,0.23,0.0,-2.7,-163.08,17.69,212.22,-40.31,2.98,0.0,130.78,-37.34,93.44
6701,12.44,15.52,29.38,3.54,0.27,0.0,-0.2,-160.13,17.88,204.79,-38.21,2.99,0.0,123.5,-35.22,88.28
6801,8.35,14.65,33.96,2.86,0.8,0.0,-0.6,-152.19,17.58,193.94,-35.91,2.92,0.0,119.36,-32.99,86.36
6901,11.24,18.49,34.14,3.19,0.33,0.0,-1.27,-151.93,17.15,191.38,-35.56,3.0,0.0,122.72,-32.56,90.16
7001,13.75,13.65,27.89,1.85,0.46,0.0,-1.01,-153.55,16.86,198.27,-36.11,2.94,0.0,118.16,-33.17,84.99
7101,12.85,17.56,31.44,2.11,0.76,0.0,-2.3,-160.75,15.66,199.33,-34.15,2.96,0.0,116.67,-31.18,85.49
7201,12.1,19.99,32.19,2.73,0.99,0.0,-3.45,-157.29,18.4,201.72,-36.63,2.97,0.0,127.37,-33.66,93.71
7301,13.97,20.14,26.94,2.73,1.94,0.0,-1.47,-152.51,15.7,193.3,-37.35,3.0,0.0,120.75,-34.35,86.4
