POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
7101,8.64,16.11,21.55,2.45,0.23,0.0,-0.52,-95.83,26.4,106.19,-23.58,2.91,0.0,85.22,-20.67,64.54
7201,10.77,19.66,15.13,3.34,1.86,0.0,-1.45,-94.05,22.29,105.24,-24.52,2.9,0.0,82.81,-21.62,61.19
7301,16.58,15.74,17.17,4.98,0.03,0.0,0.15,-96.37,24.04,102.85,-22.81,2.92,0.0,85.17,-19.89,65.28
7401,12.21,15.65,13.8,3.53,0.12,0.0,-0.89,-102.42,25.11,111.24,-21.77,2.9,0.0,78.34,-18.87,59.47
7501,11.08,22.76,20.02,2.96,0.74,0.0,-0.36,-92.64,25.43,100.17,-23.31,2.94,0.0,90.16,-20.38,69.79
7601,5.84,18.11,19.26,2.93,0.1,0.0,-2.26,-93.73,27.29,106.48,-24.87,2.93,0.0,84.02,-21.94,62.07
7701,15.82,16.37,14.31,3.12,0.0,0.0,-2.4,-99.29,23.17,106.94,-22.27,2.93,0.0,78.04,-19.34,58.7
7801,6.1,19.03,19.27,1.7,0.0,0.0,-0.53,-95.64,27.09,105.16,-22.53,2.9,0.0,82.18,-19.63,62.55
7901,12.69,19.79,16.46,3.05,0.11,0.0,-1.64,-95.14,23.39,104.29,-22.93,2.97,0.0,83.01,-19.97,63.04
8001,9.59,14.45,18.63,3.56,0.03,0.0,0.21,-97.55,24.56,107.69,-24.26,2.9,0.0,81.17,-21.35,59.82
8101,9.67,14.36,17.04,3.17,0.0,0.0,0.4,-97.07,23.71,101.74,-21.21,2.86,0.0,73.02,-18.35,54.67
8201,8.29,12.9,17.92,2.83,0.04,0.0,-2.56,-97.38,24.82,109.21,-23.21,2.94,0.0,76.06,-20.27,55.79
8301,7.13,12.7,16.0,2.26,0.02,0.0,-1.6,-96.72,28.2,107.58,-22.82,2.92,0.0,75.56,-19.91,55.65
8401,8.53,19.44,16.61,4.74,0.6,0.0,-0.76,-94.21,23.76,99.97,-23.14,2.98,0.0,78.68,-20.16,58.51
8501,8.02,17.27,18.91,3.85,0.29,0.0,-0.74,-93.1,27.21,102.04,-24.07,2.92,0.0,83.76,-21.15,62.61
8601,9.72,17.47,15.62,3.53,0.51,0.0,-2.14,-99.06,27.6,108.44,-23.02,2.9,0.0,81.7,-20.12,61.57
8701,13.79,16.72,14.84,3.35,0.07,0.0,-2.34,-92.72,22.01,103.07,-24.51,2.97,0.0,78.78,-21.54,57.25
8801,14.59,15.75,21.49,3.78,0.0,0.0,-1.93,-94.25,26.11,104.28,-24.31,2.92,0.0,89.83,-21.39,68.43
8901,7.83,12.85,18.18,2.75,0.25,0.0,-2.95,-95.26,27.81,106.81,-24.11,2.9,0.0,78.26,-21.21,57.05
9001,7.31,15.46,18.08,4.44,0.0,0.0,-1.04,-95.63,25.83,102.61,-23.07,2.91,0.0,77.06,-20.16,56.9
9101,9.43,14.68,16.64,3.05,0.38,0.0,2.51,-98.85,25.99,108.4,-22.81,2.89,0.0,82.23,-19.92,62.31
9201,11.65,14.23,17.69,2.96,0.02,0.0,0.64,-92.09,28.2,100.97,-23.16,2.91,0.0,84.27,-20.25,64.03
9301,8.55,16.22,20.02,2.58,0.02,0.0,-1.77,-98.28,24.04,105.28,-22.79,2.92,0.0,76.66,-19.87,56.79
9401,9.08,14.47,28.59,3.29,0.01,0.0,-2.12,-96.14,26.23,106.19,-23.87,2.91,0.0,89.6,-20.96,68.64
9501,7.61,15.63,15.95,1.6,0.03,0.0,-0.56,-99.69,27.31,106.76,-20.91,2.85,0.0,74.63,-18.06,56.57
9601,8.32,18.86,19.95,4.06,0.53,0.0,0.27,-91.01,25.07,95.67,-21.3,2.89,0.0,81.72,-18.41,63.31
9701,7.74,16.24,18.88,2.47,0.0,0.0,-3.03,-95.97,24.03,104.46,-22.31,2.88,0.0,74.82,-19.42,55.4
9801,10.52,15.8,17.59,2.75,0.0,0.0,-2.73,-92.76,23.95,102.24,-22.97,2.92,0.0,77.37,-20.06,57.31
9901,13.83,17.59,15.13,3.59,0.18,0.0,-3.07,-94.87,23.05,100.58,-21.13,2.87,0.0,76.02,-18.26,57.76
10001,12.23,18.23,16.54,3.24,0.27,0.0,-1.44,-95.62,25.06,102.27,-22.47,2.92,0.0,80.77,-19.55,61.22

Delta Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,0.0,0.0,0.0,0.0,-0.0,0.0,-42.79,-18.11,-0.0,-0.0,48.78,-4.26,0.0,-60.89,44.52,-16.37
101,0.0,-0.0,-0.0,0.0,-0.0,0.0,-42.69,-7.45,-0.0,0.0,31.35,-4.39,0.0,-50.14,26.96,-23.18
201,0.0,0.0,-0.0,-0.0,-0.0,0.0,-41.23,-13.65,0.0,0.0,38.29,-4.22,0.0,-54.88,34.07,-20.81
301,-0.0,0.0,-0.0,0.0,-0.0,0.0,-43.75,-14.62,0.0,0.0,36.31,-4.18,0.0,-58.37,32.13,-26.24
401,0.0,0.0,-0.0,0.0,0.0,0.0,-37.22,-28.15,-0.0,-0.0,44.32,-4.23,0.0,-65.37,40.09,-25.28
501,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-41.34,-20.2,-0.0,0.0,41.32,-4.24,0.0,-61.54,37.07,-24.47
601,0.0,-0.0,-0.0,0.0,0.0,0.0,-42.21,-13.54,0.0,0.0,37.3,-4.16,0.0,-55.75,33.14,-22.61
701,0.0,0.0,0.0,0.0,0.0,0.0,-40.81,-4.71,0.0,0.0,30.93,-4.17,0.0,-45.52,26.76,-18.76
801,0.0,0.0,0.0,0.0,0.0,0.0,-43.7,-20.73,-0.0,-0.0,37.76,-4.04,0.0,-64.42,33.73,-30.7
901,0.0,0.0,0.0,-0.0,-0.0,0.0,-44.71,-13.74,0.0,0.0,40.99,-4.14,0.0,-58.45,36.85,-21.6
1001,-0.0,-0.0,0.0,0.0,0.0,0.0,-40.24,-14.77,-0.0,0.0,35.03,-4.31,0.0,-55.01,30.72,-24.29
1101,0.0,-0.0,-0.0,0.0,-0.0,0.0,-43.46,-4.47,0.0,0.0,31.64,-4.1,0.0,-47.93,27.54,-20.4
1201,0.0,0.0,-0.0,0.0,-0.0,0.0,-44.89,-19.23,-0.0,-0.0,34.44,-4.21,0.0,-64.12,30.23,-33.89
1301,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-45.5,-4.0,-0.0,0.0,33.66,-4.12,0.0,-49.49,29.54,-19.95
1401,0.0,-0.0,-0.0,0.0,0.0,0.0,-42.28,-15.01,-0.0,-0.0,32.52,-4.28,0.0,-57.29,28.24,-29.06
1501,0.0,0.0,-0.0,-0.0,0.0,0.0,-44.44,-11.97,-0.0,-0.0,32.88,-4.12,0.0,-56.41,28.76,-27.64
1601,-0.0,0.0,-0.0,0.0,-0.0,0.0,-41.79,-9.87,-0.0,-0.0,31.16,-4.35,0.0,-51.66,26.81,-24.85
1701,0.0,-0.0,0.0,-0.0,0.0,0.0,-38.44,-17.56,-0.0,0.0,35.61,-4.22,0.0,-56.01,31.39,-24.62
1801,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-44.85,-6.63,0.0,0.0,28.92,-4.23,0.0,-51.47,24.7,-26.78
1901,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-41.16,-12.55,0.0,0.0,28.8,-4.35,0.0,-53.71,24.46,-29.25
2001,-0.0,0.0,-0.0,0.0,0.0,0.0,-43.12,-14.66,0.0,-0.0,36.67,-4.25,0.0,-57.78,32.42,-25.36
2101,-0.0,0.0,0.0,0.0,0.0,0.0,-42.22,-13.68,-0.0,-0.0,35.83,-4.2,0.0,-55.89,31.62,-24.27
2201,0.0,-0.0,0.0,0.0,0.0,0.0,-44.49,-5.07,0.0,0.0,32.24,-4.27,0.0,-49.56,27.97,-21.59
2301,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-44.72,-5.23,0.0,0.0,24.12,-4.14,0.0,-49.95,19.98,-29.97
